X;Function Result
-10.0;0.5440211108889789
-9.5;0.075151120462358
-9.0;-0.4121184852434787
-8.5;-0.7984871126197944
-8.0;-0.9893582466231017
-7.5;-0.9379999767753888
-7.0;-0.6569865987174902
-6.5;-0.21511998809046445
-6.0;0.27941549819876343
-5.5;0.7055403255706957
-5.0;0.9589242746625853
-4.5;0.9775301176660683
-4.0;0.7568024953063051
-3.5;0.35078322768957526
-3.0;-0.14112000805981323
-2.5;-0.5984721441040106
-2.0;-0.909297426825641
-1.5;-0.9974949866040727
-1.0;-0.8414709848078937
-0.5;-0.4794255386041834
0.0;0.0
0.5;0.4794255386041834
1.0;0.8414709848078937
1.5;0.9974949866040727
2.0;0.909297426825641
2.5;0.5984721441040106
3.0;0.14112000805981323
3.5;-0.35078322768957526
4.0;-0.7568024953063051
4.5;-0.9775301176660683
5.0;-0.9589242746625853
5.5;-0.7055403255706957
6.0;-0.27941549819876343
6.5;0.21511998809046445
7.0;0.6569865987174902
7.5;0.9379999767753888
8.0;0.9893582466231017
8.5;0.7984871126197944
9.0;0.4121184852434787
9.5;-0.075151120462358
10.0;-0.5440211108889789
